"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";
"1";"22pf";"EMK063BBJ474KPLF";"CAPC0603X33N";"C5";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"10";"22uf";"CAP_CERAMIC0402";"0402";"1C1, 1C3, 1C4, 1C5, 1C6, 1C7, 1C9, 1C17, 1C18, 1C19";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2R";"ERJ-1GNJ224C";"RESC0603X26N";"1R10, 1R15";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"7";"33pf";"EMK063BBJ474KPLF";"CAPC0603X33N";"C9, C12, C13, C15, C18, C19, C22";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"1";"390R";"ERJ-1GNJ224C";"RESC0603X26N";"R11";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"39k";"ERJ-1GNJ224C";"RESC0603X26N";"R9";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"2";"453k";"ERJ-1GNJ224C";"RESC0603X26N";"1R3, 1R5";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"470R";"ERJ-1GNJ224C";"RESC0603X26N";"R4";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"470uf";"CAP_TANTALUMC/6032_REFLOW";"EIA6032-28/C-R";"EL1";"Tantalum Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"47pf";"EMK063BBJ474KPLF";"CAPC0603X33N";"1C2, 1C8";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
